"be cautious of/about sth 
be wary of sth ",对STH谨慎
be comparable to sth,与STH相当
be concerned about sth,担忧STH
be concerned with sth,与STH有关；涉及STH
be confronted/faced with sth ,面对STH
"be consistent with sth 
be consonant with sth 
be in the line with sth 
be in keeping with sth ",与STH一致（be动词）
be contrary/counter to sth ,与STH相悖/相反
"be critical for/to sth 
be crucial for/to sth 
be essential for/to sth 
be vital for/to sth ",对STH至关重要
"be crying out for sth 
be desperate for sth / to do 
be dying for sth 
be itching for sth / to do ",渴望（be动词）
be dependent/reliant on sth,依赖于STH
be detrimental/harmful to sth,对STH有害
be diagnosed with sth,被诊断出STH
be discounted as trivial,被轻视为微不足道
be discounted as trivial,被轻视为微不足道
"be disgusted with sth / to do 
be sickened by sth 
be repulsed by sth 
be revolted by sth ",对STH反感/厌恶
be dismayed at/by sth ,对STH震惊且失望
be distrusted of sth,不信任STH
"be down to sth 
be due to sth 
come down to sth ",归结为STH
be earmarked for sth,被指定用于STH
be eligible/qualified for sth ,有资格获得STH
be eligible/qualified to do ,有资格做
be employed in sth,被应用于STH
be enthusiastic/passionate about sth ,对STH满怀热情；热爱STH
be equivalent to sth,等同于STH 
be favored by sb ,受SB青睐
be fit for sb / to do ,适合SB；适合做
"be fond of sth 
be keen on sth / to do ",热爱STH
be foreign/new/strange to sb ,SB对STH陌生
be geared up to do ,准备好去做
"be good at sth 
be skilled in sth 
be adept at/in sth 
be expert on/at/in sth ",擅长STH
be honored/privileged to do ,有幸做
be ignorant of sth ,对STH一无所知
be in a good mood,心情好
be in a mess,乱七八糟
be in doubt about sth,对STH有疑问
be in full swing  ,如火如荼
be in high spirits,兴致高
be in one's debt,欠SB人情
be in possession of sth,拥有STH 
be in the air,正在流行
be in the dark about sth ,关于STH被蒙在鼓里
"be inclined to sth 
be liable to sth 
be prone to sth ",倾向于STH
be indicative of sth,表示STH
be indifferent to sth,对STH无动于衷
be inferior to sth ,不如STH
be intended/meant for sth ,被用于STH
be intended/meant to do ,被用来做
be labelled as sth ,被标记为STH
be neck-and-neck with sth,与STH不分伯仲
be nipped in the bud,被扼杀在萌芽
be obliged to do ,有义务去做
be obliged/thankful to sb for sth ,因STH感激SB
be oblivious to sth ,对STH浑然不觉
be off limits to sth,禁止进入STH
be off the hook,脱困
be on a level with sth,与STH处于同一水平
be on edge,坐立不安
be on guard against sth,防范STH
be on the decrease/decline/wane ,下降
be on the increase/rise ,上升
be on top of the world,心满意足
be optimistic/sanguine about sth ,对STH乐观
be oriented towards sth,以STH为导向
be out of one's league,高攀不起
be out of the question ,不可能
be over the moon,欣喜若狂
