prompt sb to do,促使SB做
prompt speculation over sth ,引发对STH的猜测
propose a toast to sb,敬SB一杯
propose/recommend/suggest sth/doing ,建议…
provoke conflicts,引起冲突
punish sb for sth,因STH惩罚SB
put an end to sth,杜绝STH
put on / gain much weight ,增重
put one's best foot forward,尽SB所能
put one's heart into sth ,全心全意投入STH
put sb ahead of the curve ,使SB抢占先机
put sb at a disadvantage,使SB处于不利境地
put sb in the shade ,使SB黯然失色
put sb on the map,使SB声名鹊起/名声大噪
put sb to shame ,使SB相形见绌
put sth into operation,使STH运作
put up with sth = bear/endure/stand/tolerate sth ,忍受STH
"put/place emphasis on sth 
place importance on sth 
attach importance to sth ",重视STH
quit the civil service job,辞去公职
raise a lot of dust ,引起争议
raise alarm / a red flag for sb about sth ,针对STH向SB发出警告
raise an ethical question,引发伦理问题
raise concerns ,引发担忧
raise one's eyebrows at sth,对STH表示惊讶/反对
range from A to B,在A到B之间变化
rank first = rank number one ,排第一
reach out for sth ,伸手去拿STH
reach out to sb ,向SB施以援手；与SB联系
read between lines,领会言外之意
reason out sth,推理出STH
reassure sb about sth,使SB对STH安心
recommend sth to sb,为SB推荐STH
recover from sth ,从STH中恢复
reduce sb to sth/doing,使SB沦落到…
refer to the dictionary,查字典
register for sth = sign up for sth ,报名STH
rehabilitate sb ,使SB康复/平反
relieve tension/pressure,缓解压力
remain to be seen,有待观察
repay the loan ,偿还贷款
research into/on sth,研究STH
resist the temptation to do,抵抗…的诱惑
"resolve to do 
be determined to do 
make up one's mind to do ",决心做
resort to sth = turn to sth ,诉诸/求助于STH
rest on one's laurels,安于其位；故步自封
restore sb to health ,使SB恢复健康
reverse the tendency,扭转趋势
reward sb for A with B,出于A用B奖励SB
rid sb of sth,使SB摆脱STH
ring/sound the alarm bell,敲响警钟
risk sth/doing,冒着…的风险
rob sb of sth,抢夺SB的STH
round sth off,使STH圆满结束
rub along with sb,与SB友好相处
run the risk of doing,冒险做
run/take one's course,顺其自然
sb has had sb's day,SB风光不再
scale up sth ,扩大STH
scold sb for sth ,因STH训斥SB
scoop up sth ,迅速拿起/舀起/挖起STH
scratch one's head,抓耳挠腮；困惑不解
see through sth,看透STH
see to sth,负责STH；照管STH
seize/take the opportunity to do ,抓住机会做
send for a help,派人求救
send shock waves,引发轰动
serve sb well in sth,在STH上对SB有帮助
settle in (spl),vi.适应；定居于SP
settle on sth ,选定STH
shake up the field of medicine,震惊医学界
shift one's responsibility onto others,将责任推卸给别人
shore up sth,支撑STH
"shout at sb 
slam door at sb ","对SB大吼
对SB摔门"
show a preference for sth ,表达对STH的喜爱
slip beyond one's grasp,滑落到SB控制之外
slip my mind,我忘了
smell a rat,感觉不妙
so far = till now = up to now,截至目前
someday = one day ,有朝一日
somehow or other,想方设法
"Sooner or later,",迟早
sort sth out,分类；整理；解决STH
spare sb (from) sth,使SB幸免于STH
spark one's curiosity/hope/interest,激发好奇/希望/兴趣
Speak for yourself.,那是你的见解
speak out against sth,公开反对STH
speak up,大胆说
"Speaking of sth, 
When it comes to sth, ",当提到STH
"Specious
Plausible
Apparent","似是而非（表面合理,实则谬误）
貌似合理（真假待定）
表面上的；显然的"
spot a difference / an error,发现不同/错误
sprain one's ankle,扭伤脚踝
spring up,vi.大量/迅速涌现
spur sb to do / into doing,激励/促使SB(去)做
stand sb in good stead for sth,对SB做STH很有用
stand up for sb = back/support/uphold sb,支持SB
start from scratch = start afresh ,从零开始
stay away from sth,远离STH
steer clear of sth,避开STH
steer the car,驾车
step by step,逐步地
"sth be of interest to sb
sb have an interest in sth",SB对STH感兴趣
sth dawn on sb ,SB突然明白STH
sth occur to sb = sb hit upon sth ,SB突然想到STH
"sth wash easily 
sth wear comfortably ",（主动表被动）
stimulate sb to do ,刺激SB做
stop at nothing,不择手段
stray away from sth,偏离STH
stray away from sth,偏离STH
stream videos on TikTok,在TikTok上刷视频
stretch for several miles,延展数公里
stretch the rules,放宽规则；通融
stretch the time curtain back to [time],时间回到…
strike fear into the heart of sb,使SB心惊胆战
strike sb as sth/adj ,给SB留下…印象
stumble into spl,偶然进入SP
submit to sb ,屈服于SB
substitute B for A,用B代替A
succeed in sth/doing,在…上成功
suffer from sth,遭受（疾病/灾难）
suggest to sb that sb (should) do ,建议SB应该做
surrender to sb ,向SB投降
sweep up fallen leaves,扫落叶
sympathize with sb,同情SB
take a [adj] position on sth ,对STH持…立场
take A as a sign of B,将A视为B的标志
take a back seat,引退；退居次位
take a bold step into sth ,大胆尝试STH
take a leading position in sth ,在STH中占领先地位
take a leap of faith,放手一搏
take advantage of sth ,利用STH
take charge of sth,负责STH
take control of sth ,取得对STH的控制
take delight/pleasure in sth ,享受STH；以STH为乐
take inspiration from sth,从STH中汲取灵感
take it on the chin,忍气吞声
take measures/steps to do ,采取措施做
take note/notice of sth = note/notice sth ,注意STH
take on a [adj] look,展现…的模样
take on a whole new role,扮演全新角色
take one's revenge,复仇
take pains to do,煞费苦心做
"take pride in sth 
be proud of sth ",为STH感到骄傲
take refuge in spl,避难于SP
take shelter from sth,躲避STH
"take sth for granted 
take it for granted [that]",认为…理所当然
take sth into account/consideration ,将STH纳入考量
take the blame,担责
take the lead in sth/doing ,率先做；带头做
take time off,请假
tempt sb to do / into doing ,诱惑SB(去)做
tempt sb with sth ,用STH诱惑SB
tend to do,倾向于做
the 80th anniversary of the triumph of the Anti-Japanese War,抗战胜利80周年
the country of origin,n.原产国
the dividends of the times,时代的红利
the icing on the cake,n.锦上添花
the primary principle,n.硬道理
There's no denying [that].,不可否认……
"There's no doubt/question [that]. 
It's beyond doubt [that]. 
No doubt [clause]. ",毫无疑问……
There's no need to do.,没必要做…
There's no point in doing.,做…无意义
think nothing of sth,不以为意
through thick and thin,风雨同舟
throw in the towel,认输
throw up one's hands,绝望
tie up with sb,与SB建立联系
tip the balance/scales,打破平衡；起决定性作用
to the limit of the strength,用尽全力地
to the point of sth / [that],到了…的地步
"to name a few,",仅举几例
trickle in = slowly show up ,vi.渐渐出现
try every means to do ,想尽办法做
"turn a blind eye to sth 
be blind to sth ",对STH视而不见
turn one's back on sth ,背弃STH
turn the situation around,力挽狂澜
twenty-three pounds seventy,£23.70
unite in doing ,团结一心做
unite with sb ,联合SB
"Upon doing, S.V.O.",一…就…
urge sb to do,敦促SB做
venture into spl,冒险进入SP
voice my ideas,表达我的观点
wash hands clean,（宾语补足语）
watch over sth,监管STH
wear off,vi.磨损；消逝
wear sth/sb out,用坏STH；使SB筋疲力尽
weigh pros and cons ,权衡利弊
weigh sb down = burden sb,使SB焦虑
win sb over,赢得SB肯定
wipe out sth,彻底摧毁STH
wipe the tears,拭泪
with the help of sb,在SB的帮助下
with the human touch,人性化
with the intention of doing,有…意图
within a stone's throw,近在咫尺
without parallels,无与伦比
wolf down sth,狼吞虎咽STH
word of mouth,n.口碑
Would you be kind enough to do?,你能不能…？
Would you mind my doing / if l do? ,你介意我…吗？
year in and year out,年复一年
yield to sb ,让步于SB
